"filename", "language", "Vue", "SCSS", "TypeScript", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/App.vue", "Vue", -46, 0, 0, 0, -7, -53
"/Users/peaker/dev/solar-finance/src/components/ui/BasePopup.vue", "Vue", -1, 0, 0, 0, 0, -1
"/Users/peaker/dev/solar-finance/src/components/ui/icons/DropdownArrow.vue", "Vue", 33, 0, 0, 1, 1, 35
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ColorPicker.vue", "Vue", 5, 0, 0, 0, 1, 6
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/IconPicker.vue", "Vue", 5, 0, 0, 0, 1, 6
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ParentCategorySelector.vue", "Vue", 7, 0, 0, 0, 1, 8
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/SharePicker.vue", "Vue", 3, 0, 0, 0, 1, 4
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/TextInput.vue", "Vue", 6, 0, 0, 0, 1, 7
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ToggleButtonGroup.vue", "Vue", 4, 0, 0, 0, 1, 5
"/Users/peaker/dev/solar-finance/src/components/ui/inputs/ToggleSwitch.vue", "Vue", 33, 0, 0, 0, 1, 34
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/BookSelector.vue", "Vue", -51, 0, 0, 0, -10, -61
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/CurrencySelector.vue", "Vue", 69, 0, 0, 1, 11, 81
"/Users/peaker/dev/solar-finance/src/components/ui/selectors/UniversalSelector.vue", "Vue", 14, 0, 0, 0, 1, 15
"/Users/peaker/dev/solar-finance/src/composables/ui/useClickOutside.ts", "TypeScript", 0, 0, 20, 1, 4, 25
"/Users/peaker/dev/solar-finance/src/composables/ui/useDropdown.ts", "TypeScript", 0, 0, 25, 2, 6, 33
"/Users/peaker/dev/solar-finance/src/main.ts", "TypeScript", 0, 0, 1, 0, 2, 3
"/Users/peaker/dev/solar-finance/src/styles/_mixins.scss", "SCSS", 0, 20, 0, 1, 3, 24
"/Users/peaker/dev/solar-finance/src/styles/components/_forms.scss", "SCSS", 0, 124, 0, 13, 22, 159
"/Users/peaker/dev/solar-finance/src/styles/components/_inputs.scss", "SCSS", 0, 30, 0, 1, 3, 34
"/Users/peaker/dev/solar-finance/src/styles/main.scss", "SCSS", 0, 50, 0, 11, 13, 74
"/Users/peaker/dev/solar-finance/src/styles/themes/_colors.scss", "SCSS", 0, 87, 0, 12, 28, 127
"/Users/peaker/dev/solar-finance/src/styles/themes/_dark.scss", "SCSS", 0, 6, 0, 5, 3, 14
"/Users/peaker/dev/solar-finance/src/styles/themes/_typography.scss", "SCSS", 0, 66, 0, 13, 17, 96
"/Users/peaker/dev/solar-finance/src/styles/themes/_variables.scss", "SCSS", 0, 43, 0, 15, 12, 70
"/Users/peaker/dev/solar-finance/src/views/account/popup/AccountAddPopup.vue", "Vue", -122, 0, 0, 0, -19, -141
"/Users/peaker/dev/solar-finance/src/views/account/popup/components/AccountTypeSelector.vue", "Vue", -30, 0, 0, 1, -2, -31
"/Users/peaker/dev/solar-finance/src/views/icon/composables/useIconGroups.ts", "TypeScript", 0, 0, -53, -7, -10, -70
"/Users/peaker/dev/solar-finance/src/views/icon/popup/IconSelectorPopup.vue", "Vue", 7, 0, 0, 0, 0, 7
"Total", "-", -64, 426, -7, 70, 85, 510
