"filename", "language", "Vue", "TypeScript", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/about/WorkFlow/BookView.md", "Markdown", 0, 0, 52, 0, 23, 75
"/Users/peaker/dev/solar-finance/src/stores/user/defaultUsers.ts", "TypeScript", 0, 2, 0, 0, 0, 2
"/Users/peaker/dev/solar-finance/src/stores/user/types.ts", "TypeScript", 0, 1, 0, 0, 0, 1
"/Users/peaker/dev/solar-finance/src/stores/user/userStore.ts", "TypeScript", 0, 9, 0, 5, 3, 17
"/Users/peaker/dev/solar-finance/src/views/book/page/components/BookFinanceSummary.vue", "Vue", 45, 0, 0, 2, 8, 55
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookData.ts", "TypeScript", 0, 265, 0, 53, 54, 372
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useBookFinanceSummary.ts", "TypeScript", 0, -430, 0, -76, -83, -589
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useFormatting.ts", "TypeScript", 0, 112, 0, 21, 23, 156
"/Users/peaker/dev/solar-finance/src/views/book/page/composables/useOwnerDistribution.ts", "TypeScript", 0, 181, 0, 45, 38, 264
"Total", "-", 45, 140, 52, 50, 66, 353
