"filename", "language", "Vue", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/components/categories/view/CategoryTransactionGroup.vue", "Vue", 38, 1, 5, 44
"/Users/peaker/dev/solar-finance/src/components/categories/view/CategoryTransactionItem.vue", "Vue", 90, 1, 10, 101
"/Users/peaker/dev/solar-finance/src/components/transactions/AmountSection.vue", "Vue", -190, -5, -24, -219
"/Users/peaker/dev/solar-finance/src/components/transactions/BookSelector.vue", "Vue", -135, -1, -19, -155
"/Users/peaker/dev/solar-finance/src/components/transactions/NumberKeypad.vue", "Vue", -147, -1, -17, -165
"/Users/peaker/dev/solar-finance/src/components/transactions/PercentageSlider.vue", "Vue", -57, -3, -8, -68
"/Users/peaker/dev/solar-finance/src/components/transactions/ViewTransaction/TransactionDateGroup.vue", "Vue", -46, -1, -7, -54
"/Users/peaker/dev/solar-finance/src/components/transactions/ViewTransaction/TransactionItem.vue", "Vue", -88, -1, -6, -95
"/Users/peaker/dev/solar-finance/src/views/transaction/TransactionView.vue", "Vue", -1, 0, 0, -1
"/Users/peaker/dev/solar-finance/src/views/transaction/components/AmountSection.vue", "Vue", 190, 5, 24, 219
"/Users/peaker/dev/solar-finance/src/views/transaction/components/BookSelector.vue", "Vue", 135, 1, 19, 155
"/Users/peaker/dev/solar-finance/src/views/transaction/components/NumberKeypad.vue", "Vue", 147, 1, 17, 165
"/Users/peaker/dev/solar-finance/src/views/transaction/components/PercentageSlider.vue", "Vue", 57, 3, 8, 68
"Total", "-", -7, 0, 2, -5
