"filename", "language", "Vue", "SCSS", "TypeScript", "HTML", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/App.vue", "Vue", -6, 0, 0, 0, -1, -1, -8
"/Users/peaker/dev/solar-finance/src/assets/theme-test.html", "HTML", 0, 0, 0, 0, 0, -1, -1
"/Users/peaker/dev/solar-finance/src/composables/useSimpleTheme.ts", "TypeScript", 0, 0, -40, 0, -18, -15, -73
"/Users/peaker/dev/solar-finance/src/layouts/IosLayout.vue", "Vue", -6, 0, 0, 0, 0, -2, -8
"/Users/peaker/dev/solar-finance/src/main.ts", "TypeScript", 0, 0, -25, 0, -7, -9, -41
"/Users/peaker/dev/solar-finance/src/services/system/AppInitService.ts", "TypeScript", 0, 0, -15, 0, -8, -3, -26
"/Users/peaker/dev/solar-finance/src/stores/theme.ts", "TypeScript", 0, 0, -82, 0, -16, -14, -112
"/Users/peaker/dev/solar-finance/src/stores/theme/themeStore.ts", "TypeScript", 0, 0, 98, 0, 43, 27, 168
"/Users/peaker/dev/solar-finance/src/stores/theme/useTheme.ts", "TypeScript", 0, 0, 25, 0, 10, 7, 42
"/Users/peaker/dev/solar-finance/src/styles/main.scss", "SCSS", 0, 6, 0, 0, 1, 1, 8
"/Users/peaker/dev/solar-finance/src/styles/themes/_blue.scss", "SCSS", 0, 35, 0, 0, 11, 10, 56
"/Users/peaker/dev/solar-finance/src/styles/themes/_high-contrast.scss", "SCSS", 0, 36, 0, 0, 12, 11, 59
"/Users/peaker/dev/solar-finance/src/views/DebugStoreView.vue", "Vue", 39, 0, 0, 0, 0, 2, 41
"/Users/peaker/dev/solar-finance/src/views/MoreView.vue", "Vue", -61, 0, 0, 0, -2, -6, -69
"/Users/peaker/dev/solar-finance/src/views/profile/pages/ProfileView.vue", "Vue", 144, 0, 0, 0, 6, 31, 181
"/Users/peaker/dev/solar-finance/src/views/profile/pages/components/DebugAccess.vue", "Vue", 53, 0, 0, 0, 0, 6, 59
"/Users/peaker/dev/solar-finance/src/views/profile/pages/components/LanguageSettings.vue", "Vue", 61, 0, 0, 0, 0, 8, 69
"/Users/peaker/dev/solar-finance/src/views/profile/pages/composables/useSimpleTheme.ts", "TypeScript", 0, 0, -50, 0, -20, -17, -87
"/Users/peaker/dev/solar-finance/src/views/profile/pages/composables/useTheme.ts", "TypeScript", 0, 0, -36, 0, -15, -13, -64
"Total", "-", 224, 77, -125, 0, -4, 22, 194
