"filename", "language", "TypeScript", "Vue", "JavaScript", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/components/atoms/buttons/BaseButton.vue", "Vue", 0, 61, 0, 0, 6, 67
"/Users/peaker/dev/solar-finance/src/components/atoms/buttons/index.js", "JavaScript", 0, 0, 1, 1, 0, 2
"/Users/peaker/dev/solar-finance/src/components/atoms/icons/BaseIcon.vue", "Vue", 0, 49, 0, 0, 4, 53
"/Users/peaker/dev/solar-finance/src/components/atoms/icons/index.js", "JavaScript", 0, 0, 1, 1, 0, 2
"/Users/peaker/dev/solar-finance/src/components/atoms/index.js", "JavaScript", 0, 0, 3, 1, 0, 4
"/Users/peaker/dev/solar-finance/src/components/atoms/typography/BaseDescription.vue", "Vue", 0, 29, 0, 0, 3, 32
"/Users/peaker/dev/solar-finance/src/components/atoms/typography/BaseTitle.vue", "Vue", 0, 28, 0, 0, 5, 33
"/Users/peaker/dev/solar-finance/src/components/atoms/typography/index.js", "JavaScript", 0, 0, 2, 1, 0, 3
"/Users/peaker/dev/solar-finance/src/components/index.js", "JavaScript", 0, 0, 3, 1, 0, 4
"/Users/peaker/dev/solar-finance/src/components/molecules/actions/ExpressAction.vue", "Vue", 0, 73, 0, 0, 5, 78
"/Users/peaker/dev/solar-finance/src/components/molecules/actions/index.js", "JavaScript", 0, 0, 1, 1, 0, 2
"/Users/peaker/dev/solar-finance/src/components/molecules/index.js", "JavaScript", 0, 0, 2, 1, 0, 3
"/Users/peaker/dev/solar-finance/src/components/molecules/information/InfoBlock.vue", "Vue", 0, 82, 0, 0, 7, 89
"/Users/peaker/dev/solar-finance/src/components/molecules/information/index.js", "JavaScript", 0, 0, 1, 1, 0, 2
"/Users/peaker/dev/solar-finance/src/components/molecules/lists/BaseList.vue", "Vue", 0, 79, 0, 1, 11, 91
"/Users/peaker/dev/solar-finance/src/components/navigation/AppTopHeader.vue", "Vue", 0, 9, 0, 1, 3, 13
"/Users/peaker/dev/solar-finance/src/components/organisms/index.js", "JavaScript", 0, 0, 1, 1, 0, 2
"/Users/peaker/dev/solar-finance/src/components/organisms/notifications/Notification.vue", "Vue", 0, 87, 0, 0, 5, 92
"/Users/peaker/dev/solar-finance/src/components/organisms/notifications/index.js", "JavaScript", 0, 0, 1, 0, 0, 1
"/Users/peaker/dev/solar-finance/src/components/organisms/popups/BaseFloatingPopup.vue", "Vue", 0, 141, 0, 1, 18, 160
"/Users/peaker/dev/solar-finance/src/services/system/AppInitService.ts", "TypeScript", 5, 0, 0, 1, 1, 7
"/Users/peaker/dev/solar-finance/src/stores/notification/DefaultNotification.ts", "TypeScript", 62, 0, 0, 22, 6, 90
"/Users/peaker/dev/solar-finance/src/stores/notification/composables/useNotifications.ts", "TypeScript", 75, 0, 0, 13, 14, 102
"/Users/peaker/dev/solar-finance/src/stores/notification/index.ts", "TypeScript", 27, 0, 0, 9, 6, 42
"/Users/peaker/dev/solar-finance/src/stores/notification/notificationService.ts", "TypeScript", 145, 0, 0, 47, 34, 226
"/Users/peaker/dev/solar-finance/src/stores/notification/notificationStore.ts", "TypeScript", 94, 0, 0, 60, 27, 181
"/Users/peaker/dev/solar-finance/src/stores/notification/types.ts", "TypeScript", 44, 0, 0, 2, 6, 52
"/Users/peaker/dev/solar-finance/src/views/debug/DebugStoreView.vue", "Vue", 0, 193, 0, 4, 23, 220
"/Users/peaker/dev/solar-finance/src/views/debug/components/BaseStoresDebugPanel.vue", "Vue", 0, 203, 0, 4, 19, 226
"/Users/peaker/dev/solar-finance/src/views/debug/components/FinanceStoresDebugPanel.vue", "Vue", 0, 278, 0, 5, 20, 303
"/Users/peaker/dev/solar-finance/src/views/debug/components/SystemStoresDebugPanel.vue", "Vue", 0, 284, 0, 4, 21, 309
"/Users/peaker/dev/solar-finance/src/views/notification/NotificationsView.vue", "Vue", 0, 210, 0, 2, 29, 241
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationItem.vue", "Vue", 0, 168, 0, 1, 19, 188
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationList.vue", "Vue", 0, 112, 0, 1, 13, 126
"/Users/peaker/dev/solar-finance/src/views/notification/components/NotificationPopup.vue", "Vue", 0, 179, 0, 1, 22, 202
"/Users/peaker/dev/solar-finance/src/views/notification/composables/useNotifications.ts", "TypeScript", 67, 0, 0, 6, 10, 83
"/Users/peaker/dev/solar-finance/src/views/notification/initNotifications.ts", "TypeScript", 22, 0, 0, 9, 4, 35
"Total", "-", 541, 2265, 16, 203, 341, 3366
