"filename", "language", "TypeScript", "Vue", "comment", "blank", "total"
"/Users/peaker/dev/solar-finance/src/router/index.ts", "TypeScript", 15, 0, 0, 0, 15
"/Users/peaker/dev/solar-finance/src/stores/debt/debtService.ts", "TypeScript", -156, 0, -43, -24, -223
"/Users/peaker/dev/solar-finance/src/stores/debt/debtStore.ts", "TypeScript", -69, 0, -69, -48, -186
"/Users/peaker/dev/solar-finance/src/stores/debt/defaultDebts.ts", "TypeScript", -116, 0, -5, -1, -122
"/Users/peaker/dev/solar-finance/src/stores/debt/index.ts", "TypeScript", -4, 0, -2, -1, -7
"/Users/peaker/dev/solar-finance/src/stores/debt/types.ts", "TypeScript", -45, 0, -12, -11, -68
"/Users/peaker/dev/solar-finance/src/views/debt/DebtDetailsView.vue", "Vue", 0, 351, 6, 56, 413
"/Users/peaker/dev/solar-finance/src/views/debt/DebtView.vue", "Vue", 0, -263, 5, -33, -291
"/Users/peaker/dev/solar-finance/src/views/debt/components/DebtAddForm.vue", "Vue", 0, -443, -4, -62, -509
"/Users/peaker/dev/solar-finance/src/views/debt/components/DebtDetail.vue", "Vue", 0, -404, -5, -68, -477
"/Users/peaker/dev/solar-finance/src/views/debt/components/DebtGroup.vue", "Vue", 0, 83, 2, 13, 98
"/Users/peaker/dev/solar-finance/src/views/debt/components/DebtItem.vue", "Vue", 0, 102, 3, 20, 125
"/Users/peaker/dev/solar-finance/src/views/debt/components/DebtList.vue", "Vue", 0, -385, -4, -60, -449
"/Users/peaker/dev/solar-finance/src/views/debt/components/DebtPaymentForm.vue", "Vue", 0, -278, -2, -42, -322
"/Users/peaker/dev/solar-finance/src/views/debt/components/index.ts", "TypeScript", 2, 0, 1, 0, 3
"/Users/peaker/dev/solar-finance/src/views/debt/composables/useDebts.ts", "TypeScript", -216, 0, -13, -61, -290
"Total", "-", -589, -1237, -142, -322, -2290
